City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,20.78,78,99,10.64,PN,1730321692
1,douentza,14.9951,-2.9517,29.06,17,83,1.38,ML,1730321693
2,yerofey pavlovich,53.9667,121.9667,-4.05,96,100,1.14,RU,1730321694
3,kihei,20.785,-156.4656,27.81,79,40,9.77,US,1730321695
4,gizo,-8.103,156.8419,27.79,76,57,0.83,SB,1730321696
5,ovalle,-30.5983,-71.2003,24.96,36,52,3.27,CL,1730321422
6,lihue,21.9789,-159.3672,26.77,75,100,10.29,US,1730321470
7,port-aux-francais,-49.35,70.2167,4.23,89,100,12.85,TF,1730321699
8,olonkinbyen,70.9221,-8.7187,-5.85,48,100,6.58,SJ,1730321700
9,grytviken,-54.2811,-36.5092,0.9,84,66,2.65,GS,1730321701
10,invercargill,-46.4,168.35,12.23,94,100,1.79,NZ,1730321703
11,paramonga,-10.6667,-77.8333,19.6,74,35,4.57,PE,1730321704
12,kourou,5.1552,-52.6478,27.57,76,38,3.4,GF,1730321705
13,lucapa,-8.4192,20.7447,18.72,97,100,1.17,AO,1730321706
14,muhlhausen,51.2167,10.45,12.26,88,100,1.5,DE,1730321707
15,isafjordur,66.0755,-23.124,-0.01,98,98,1.84,IS,1730321708
16,ushuaia,-54.8,-68.3,10.81,43,0,14.4,AR,1730321709
17,kudymkar,59.0173,54.656,1.73,96,100,5.08,RU,1730321710
18,la ronge,55.1001,-105.2842,1.14,69,100,3.6,CA,1730321712
19,bredasdorp,-34.5322,20.0403,14.83,84,0,2.17,ZA,1730321713
20,lazaro cardenas,17.9583,-102.2,29.51,70,2,3.57,MX,1730321638
21,margaret river,-33.95,115.0667,11.51,96,24,3.78,AU,1730321716
22,gebeit,21.0667,36.3167,25.43,66,0,2.35,SD,1730321717
23,waitangi,-43.9535,-176.5597,13.23,77,20,1.79,NZ,1730321718
24,utrik,11.2278,169.8474,28.11,79,62,6.38,MH,1730321719
25,vilyuchinsk,52.9306,158.4028,1.15,67,9,10.92,RU,1730321721
26,dubbo,-32.25,148.6167,14.07,67,80,1.54,AU,1730321722
27,port blair,11.6667,92.75,26.41,83,12,1.67,IN,1730321723
28,edinburgh of the seven seas,-37.0676,-12.3116,13.66,76,8,6.96,SH,1730321724
29,albany,42.6001,-73.9662,22.54,63,100,0.89,US,1730321725
30,bamboo flat,11.7,92.7167,25.85,84,12,1.49,IN,1730321727
31,saynshand,44.8824,110.1163,4.95,65,0,7.52,MN,1730321728
32,santiago de cao,-7.9589,-79.2392,19.07,77,75,4.63,PE,1730321729
33,blackmans bay,-43.0167,147.3167,9.85,93,100,0.45,AU,1730321730
34,mariehamn,60.0973,19.9348,4.92,75,0,3.09,AX,1730321731
